feature,importance
diff_att,0.119602434
bk_win_A,0.06360938
diff_log_mv,0.03614397
log_sv_A,0.029617118
net_off_pow,0.02832006
log_sv_B,0.021588823
bk_draw,0.021367382
env_alt,0.01989713
gf_pg_A,0.01957064
rank_ratio,0.017650781
log_mv_A,0.017331231
diff_gf_pg,0.017276304
sq_rat_B,0.016896099
diff_sq_rat,0.01637267
age_B,0.016290229
log_mv_B,0.015732786
bk_win_B,0.015481084
heat_hydra_pen_B,0.0151811205
wr_A,0.015136536
wr_B,0.014929484
gd_A,0.014270916
env_temp,0.014134485
env_wind,0.013786
rank_A,0.013672323
att_B,0.013593428
diff_gd,0.013436618
diff_wc_form,0.013376919
diff_ga_pg,0.013367744
wc_ga_A,0.013191336
rank_diff,0.013089165
star_rat_A,0.01287187
top_sc_A,0.012192112
att_A,0.011975639
heat_hydra_pen_A,0.0118666
wc_form_B,0.011778592
top_sc_B,0.011697952
conf_B,0.011676432
age_A,0.011596203
ga_pg_A,0.011548223
diff_cwe,0.01153652
sq_rat_A,0.011226684
cross_ta,0.010863544
wc_form_A,0.01077179
gf_pg_B,0.010748223
conf_A,0.010724701
rank_B,0.010627081
gd_B,0.010596086
wc_gf_B,0.010128208
ga_pg_B,0.010025457
wc_ga_B,0.009552243
cross_tb,0.00951842
diff_wr,0.009485703
diff_top_sc,0.009430329
diff_fatk,0.009408408
diff_press,0.0076223104
cwe_B,0.0071010645
cwe_A,0.0070802984
env_hydration,0.0067202556
star_rat_B,0.00651403
wc_gf_A,0.006469522
diff_fdef,0.006431545
diff_star_rat,0.0063647185
diff_style,0.0055260304
top10_A,0.0044089286
fatk_B,0.0
top5_A,0.0
fatk_A,0.0
top10_B,0.0
top5_B,0.0
tact_adv,0.0
style_B,0.0
style_A,0.0
diff_sp,0.0
sp_A,0.0
sp_B,0.0
press_A,0.0
press_B,0.0
fdef_B,0.0
fdef_A,0.0
width_B,0.0
width_A,0.0
off_pow_A,0.0
off_pow_B,0.0
alt_pen_B,0.0
alt_pen_A,0.0
